iter	Passed	Remaining
614	3316	2076
615	3322	2070
616	3326	2065
617	3331	2059
618	3336	2053
619	3341	2047
620	3346	2042
621	3351	2036
622	3357	2031
623	3362	2025
624	3366	2019
625	3371	2014
626	3375	2008
627	3380	2002
628	3384	1995
629	3387	1989
630	3391	1983
631	3394	1976
632	3399	1970
633	3402	1964
634	3406	1958
635	3411	1952
636	3415	1946
637	3419	1940
638	3424	1934
639	3428	1928
640	3431	1921
641	3435	1915
642	3440	1910
643	3444	1904
644	3448	1898
645	3453	1892
646	3458	1886
647	3461	1880
648	3469	1876
649	3473	1870
650	3477	1864
651	3482	1858
652	3486	1852
653	3490	1846
654	3495	1841
655	3500	1835
656	3504	1829
657	3508	1823
658	3512	1817
659	3518	1812
660	3521	1806
661	3525	1800
662	3534	1796
663	3539	1790
664	3543	1784
665	3549	1779
666	3553	1773
667	3557	1768
668	3561	1762
669	3565	1756
670	3569	1750
671	3574	1744
672	3579	1739
673	3583	1733
674	3587	1727
675	3591	1721
676	3596	1715
677	3600	1709
678	3605	1704
679	3609	1698
680	3613	1692
681	3617	1686
682	3621	1680
683	3625	1675
684	3630	1669
685	3633	1663
686	3637	1657
687	3641	1651
688	3646	1645
689	3650	1640
690	3654	1634
691	3657	1628
692	3662	1622
693	3666	1616
694	3675	1613
695	3680	1607
696	3684	1601
697	3688	1595
698	3692	1590
699	3697	1584
700	3702	1579
701	3706	1573
702	3712	1568
703	3717	1562
704	3722	1557
705	3728	1552
706	3733	1547
707	3736	1541
708	3741	1535
709	3745	1529
710	3750	1524
711	3754	1518
712	3759	1513
713	3763	1507
714	3766	1501
715	3770	1495
716	3785	1494
717	3791	1489
718	3797	1484
719	3802	1478
720	3806	1473
721	3811	1467
722	3816	1462
723	3821	1456
724	3825	1451
725	3830	1445
726	3834	1439
727	3839	1434
728	3843	1428
729	3847	1423
730	3851	1417
731	3856	1411
732	3861	1406
733	3864	1400
734	3869	1395
735	3873	1389
736	3877	1383
737	3881	1378
738	3885	1372
739	3889	1366
740	3893	1360
741	3897	1355
